Controlled Substances Schedule IV,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,"SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane (1635)",Mefenorex (1580) Effective 6/16/1988,Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Fenproporex (1575),Fenproporex (1575),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Fenfluramine (1670),Zopiclone (2784),Zaleplon (2781)
,,,,,,,,,,,,,,,,,Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mazindol (1605),Mazindol (1605),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Fencamfamin (1760),Diethylpropion (1610),Diethylpropion (1610),Cathine ((+)norpseudoephedrine) (1230),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670),Zolpidem (2783)
,,,,,,,,,,,,,,,,,,,,Phentermine (1640),Phentermine (1640),Phentermine (1640),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Modafinil (1680) Effective 1/27/1999,Mefenorex (1580),Mefenorex (1580),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fenproporex (1575),Fencamfamin (1760),Fencamfamin (1760),Diethylpropion (1610),Diethylpropion (1610),Lorcaserin (1625) Effective 6/7/2013,Zopiclone (2784)
,,,,,,,,,,,,,,,,,,,,Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Phentermine (1640),Phentermine (1640),Phentermine (1640),Phentermine (1640),Phentermine (1640),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Modafinil (1680),Modafinil (1680),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mazindol (1605),Mazindol (1605),Mazindol (1605),Mazindol (1605),Fenproporex (1575),Fenproporex (1575),Fencamfamin (1760),Fencamfamin (1760),Cathine ((+)norpseudoephedrine) (1230),Fenfluramine (1670)
,,,,,,,,,,,,,,,,,,,,"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Modafinil (1680),Modafinil (1680),Modafinil (1680),Modafinil (1680),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mefenorex (1580),Mazindol (1605),Mazindol (1605),Fenproporex (1575),Fenproporex (1575),Diethylpropion (1610),Lorcaserin (1625) 
,,,,,,,,,,,,,,,,,,,,Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Pipradrol (1750),Phentermine (1640),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Modafinil (1680),Modafinil (1680),Modafinil (1680),Modafinil (1680),Mefenorex (1580),Mefenorex (1580),Mazindol (1605),Mazindol (1605),Fencamfamin (1760),Cathine ((+)norpseudoephedrine) (1230)
,,,,,,,,,,,,,,,,,,,,,,,,Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Sibutramine (1675) Effective 2/11/1998,Pipradrol (1750),Pipradrol (1750),Phentermine (1640),Phentermine (1640),Phentermine (1640),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Modafinil (1680),Modafinil (1680),Mefenorex (1580),Mefenorex (1580),Fenproporex (1575),Diethylpropion (1610)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720) Effective 10/31/1997,"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Sibutramine (1675),Sibutramine (1675),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Phentermine (1640),Phentermine (1640),Phentermine (1640),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Modafinil (1680),Modafinil (1680),Mazindol (1605),Fencamfamin (1760)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Sibutramine (1675),Sibutramine (1675),Sibutramine (1675),Sibutramine (1675),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Pipradrol (1750),Phentermine (1640),Phentermine (1640),Pemoline (including organometallic complexes and chelates thereof) (1530),Pemoline (including organometallic complexes and chelates thereof) (1530),Mefenorex (1580),Fenproporex (1575)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),Pentazocine (9709),Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Sibutramine (1675),Sibutramine (1675),Sibutramine (1675),Sibutramine (1675),Pipradrol (1750),Pipradrol (1750),Phentermine (1640),Phentermine (1640),Modafinil (1680),Mazindol (1605)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Sibutramine (1675),Sibutramine (1675),Pipradrol (1750),Pipradrol (1750),Pemoline (including organometallic complexes and chelates thereof) (1530),Mefenorex (1580)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Sibutramine (1675),Sibutramine (1675),Phentermine (1640),Modafinil (1680)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Pentazocine (9709),Pentazocine (9709),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)","SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Pipradrol (1750),Pemoline (including organometallic complexes and chelates thereof) (1530)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),Pentazocine (9709),Pentazocine (9709),Sibutramine (1675),Phentermine (1640)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),Butorphanol (including its optical isomers) (9720),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)",Pipradrol (1750)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentazocine (9709),Sibutramine (1675)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720),"SPA ((-)-1-dimethylamino-1,2-diphenylethane) (1635)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentazocine (9709)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butorphanol (including its optical isomers) (9720)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
