Controlled Substances Schedule I,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betameprodine 9608,Betameprodine 9608,Betamethadol 9609,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607,Betacetylmethadol 9607
11,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betamethadol 9609,Betamethadol 9609,Betaprodine 9611,"Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) (November 29, 1985) 9830",Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830,Beta-hydroxyfentanyl (N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide) 9830
12,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Betaprodine 9611,Betaprodine 9611,Clonitazene 9612,"Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide)   (November 29, 1985; other name change) 9831",Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831,Beta-hydrozy-3-methylfentanyl (other name: N-[1-(2-hydroxy-2-phenethyl)-3-methyl-4-piperidunyl]-N-phenylpropanamide) 9831
13,Dextrorphan 9614,Dextrorphan 9614,Dextrorphan 9614,Dextrorphan 9614,Dextrorphan 9614,Dextrorphan 9614,"Dextrorphan 9614 (removed October 1, 1976)",Diampromide9615,Diampromide9615,Diampromide9615,Diampromide9615,Diampromide9615,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Clonitazene 9612,Clonitazene 9612,Dextromoramide 9613,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608,Betameprodine 9608
14,Diampromide9615,Diampromide9615,Diampromide9615,Diampromide9615,Diampromide9615,Diampromide9615,Diampromide9615,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diampromide9615,Diampromide9615,Diampromide9615,Dextromoramide 9613,Dextromoramide 9613,Diampromide9615,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609,Betamethadol 9609
15,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diampromide9615,Diampromide9615,Diethylthiambutene 9616,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611,Betaprodine 9611
16,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,"Difenoxin (June 1, 1975) 9168",Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168 (commonly miswritten as 9618),Diethylthiambutene 9616,Diethylthiambutene 9616,Difenoxin 9168,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612,Clonitazene 9612
17,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimenoxadol 9617,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Difenoxin 9168,Difenoxin 9168,Dimenoxadol 9617,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613,Dextromoramide 9613
18,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimepheptanol 9618,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimenoxadol 9617,Dimenoxadol 9617,Dimepheptanol 9618,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615,Diampromide 9615
19,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dimethylthiambutene 9619,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimepheptanol 9618,Dimepheptanol 9618,Dimethylthiambutene 9619,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616,Diethylthiambutene 9616
20,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dioxaphetyl butyrate 9621,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dioxaphetyl butyrate 9621,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168,Difenoxin 9168
21,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Dipipanone 9622,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dipipanone 9622,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617,Dimenoxadol 9617
22,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Ethylmethylthiambutene 9623,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Dipipanone 9622,Dipipanone 9622,Ethylmethylthiambutene 9623,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618,Dimepheptanol 9618
23,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etonitazene 9624,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Etonitazene 9624,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619,Dimethylthiambutene 9619
24,Furethidine 9626,Furethidine 9626,Furethidine 9626,Furethidine 9626,Furethidine 9626,Furethidine 9626,Etoxeridine 9625,Furethidine 9626,Furethidine 9626,Furethidine 9626,Furethidine 9626,Furethidine 9626,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etonitazene 9624,Etonitazene 9624,Etoxeridine 9625,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621,Dioxaphetyl butyrate 9621
25,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Furethidine 9626,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Furethidine 9626,Furethidine 9626,Furethidine 9626,Etoxeridine 9625,Etoxeridine 9625,Furethidine 9626,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622,Dipipanone 9622
26,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Hydroxypethidine 9627,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Hydroxypethidine 9627,Hydroxypethidine 9627,Hydroxypethidine 9627,Furethidine 9626,Furethidine 9626,Hydroxypethidine 9627,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623,Ethylmethylthiambutene 9623
27,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Ketobemidone 9628,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Ketobemidone 9628,Ketobemidone 9628,Ketobemidone 9628,Hydroxypethidine 9627,Hydroxypethidine 9627,Ketobemidone 9628,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624,Etonitazene 9624
28,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levomoramide 9629,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levophenacylmorphan 9631,Levomoramide 9629,Levomoramide 9629,Levomoramide 9629,Ketobemidone 9628,Ketobemidone 9628,Levomoramide 9629,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625,Etoxeridine 9625
